Variables ->;IndComb;IndPSY13;IndPWY11rec;IndPWY11rol;IndHP
1969M12;0;0;0;NaN;0
1970M01;0;0;0;0;0
1970M02;0;0;0;0;0
1970M03;0;0;0;0;0
1970M04;0;0;0;0;0
1970M05;0;0;0;0;0
1970M06;0;0;0;0;0
1970M07;0;0;0;0;0
1970M08;0;0;0;0;0
1970M09;0;0;0;0;0
1970M10;0;0;0;0;0
1970M11;0;0;0;0;0
1970M12;0;0;0;0;0
1971M01;0;0;0;0;0
1971M02;0;0;0;0;0
1971M03;0;0;0;0;0
1971M04;0;0;0;0;0
1971M05;0;0;0;0;0
1971M06;0;0;0;0;0
1971M07;0;0;0;0;0
1971M08;0;0;0;0;0
1971M09;0;0;0;0;0
1971M10;0;0;0;0;0
1971M11;0;0;0;0;0
1971M12;0;0;0;0;0
1972M01;0;0;0;0;0
1972M02;0;0;0;0;0
1972M03;0;0;0;0;0
1972M04;0;0;0;0;0
1972M05;0;0;0;0;0
1972M06;0;0;0;0;0
1972M07;0;0;0;0;0
1972M08;0;0;0;0;0
1972M09;0;0;0;0;0
1972M10;0;0;0;0;0
1972M11;0;0;0;0;0
1972M12;0;0;0;0;0
1973M01;0;0;0;0;0
1973M02;0;0;0;0;0
1973M03;0;0;0;0;0
1973M04;0;0;0;0;0
1973M05;0;0;0;0;0
1973M06;0;0;0;0;0
1973M07;0;0;0;0;0
1973M08;0;0;0;0;0
1973M09;0;0;0;0;0
1973M10;0;0;0;0;0
1973M11;0;0;0;0;0
1973M12;0;0;0;0;0
1974M01;0;0;0;0;0
1974M02;0;0;0;0;0
1974M03;0;0;0;0;0
1974M04;0;0;0;0;0
1974M05;0;0;0;0;0
1974M06;0;0;0;0;0
1974M07;0;0;0;0;0
1974M08;0;0;0;0;0
1974M09;0;0;0;0;0
1974M10;0;0;0;0;0
1974M11;0;0;0;0;0
1974M12;0;0;0;0;0
1975M01;0;0;0;0;0
1975M02;0;0;0;0;0
1975M03;0;0;0;0;0
1975M04;0;0;0;0;0
1975M05;0;0;0;0;0
1975M06;0;0;0;0;0
1975M07;0;0;0;0;0
1975M08;0;0;0;0;0
1975M09;0;0;0;0;0
1975M10;0;0;0;0;0
1975M11;0;0;0;0;0
1975M12;0;0;0;0;0
1976M01;0;0;0;0;0
1976M02;0;0;0;0;0
1976M03;0;0;0;0;0
1976M04;0;0;0;0;0
1976M05;0;0;0;0;0
1976M06;0;0;0;0;0
1976M07;0;0;0;0;0
1976M08;0;0;0;0;0
1976M09;0;0;0;0;0
1976M10;0;0;0;0;0
1976M11;0;0;0;0;0
1976M12;0;0;0;0;0
1977M01;0;0;0;0;0
1977M02;0;0;0;0;0
1977M03;0;0;0;0;0
1977M04;0;0;0;0;0
1977M05;0;0;0;0;0
1977M06;0;0;0;0;0
1977M07;0;0;0;0;0
1977M08;0;0;0;0;0
1977M09;0;0;0;0;0
1977M10;0;1;0;0;0
1977M11;0;1;0;0;0
1977M12;0;1;0;0;0
1978M01;1;1;0;0;1
1978M02;1;1;0;0;1
1978M03;1;1;0;0;1
1978M04;1;1;0;0;1
1978M05;1;1;0;0;1
1978M06;1;1;0;0;1
1978M07;1;1;0;0;1
1978M08;1;1;0;0;1
1978M09;1;1;0;0;1
1978M10;1;1;0;0;1
1978M11;1;1;0;0;1
1978M12;1;1;0;0;1
1979M01;1;1;0;0;1
1979M02;1;1;0;0;1
1979M03;1;1;0;0;1
1979M04;1;1;0;0;1
1979M05;1;1;0;0;1
1979M06;1;1;0;0;1
1979M07;1;1;0;0;1
1979M08;1;1;0;0;1
1979M09;0;0;0;0;1
1979M10;0;0;0;0;1
1979M11;0;0;0;0;1
1979M12;0;0;0;0;0
1980M01;0;0;0;0;0
1980M02;0;0;0;0;0
1980M03;0;0;0;0;0
1980M04;0;0;0;0;0
1980M05;0;0;0;0;0
1980M06;0;0;0;0;0
1980M07;0;0;0;0;0
1980M08;0;0;0;0;0
1980M09;0;0;0;0;0
1980M10;0;0;0;0;0
1980M11;0;0;0;0;0
1980M12;0;0;0;0;0
1981M01;0;0;0;0;0
1981M02;0;0;0;0;0
1981M03;0;0;0;0;0
1981M04;0;0;0;0;0
1981M05;0;0;0;0;0
1981M06;0;0;0;0;0
1981M07;0;0;0;0;0
1981M08;0;0;0;0;0
1981M09;0;0;0;0;0
1981M10;0;0;0;0;0
1981M11;0;0;0;0;0
1981M12;0;0;0;0;0
1982M01;0;0;0;0;0
1982M02;0;0;0;0;0
1982M03;0;0;0;0;0
1982M04;0;0;0;0;0
1982M05;0;0;0;0;0
1982M06;0;0;0;0;0
1982M07;0;0;0;0;0
1982M08;0;0;0;0;0
1982M09;0;0;0;0;0
1982M10;0;0;0;0;0
1982M11;0;0;0;0;0
1982M12;0;0;0;0;0
1983M01;0;0;0;0;0
1983M02;0;0;0;0;0
1983M03;0;0;0;0;0
1983M04;0;0;0;0;0
1983M05;0;0;0;0;0
1983M06;0;0;0;0;0
1983M07;0;0;0;0;0
1983M08;0;0;0;0;0
1983M09;0;0;0;0;0
1983M10;0;0;0;0;0
1983M11;0;0;0;0;0
1983M12;0;0;0;0;0
1984M01;0;0;0;0;0
1984M02;0;0;0;0;0
1984M03;0;0;0;0;0
1984M04;0;0;0;0;0
1984M05;0;0;0;0;0
1984M06;0;0;0;0;0
1984M07;0;0;0;0;0
1984M08;0;0;0;0;0
1984M09;0;0;0;0;0
1984M10;0;0;0;0;0
1984M11;0;0;0;0;0
1984M12;0;0;0;0;0
1985M01;0;0;0;0;0
1985M02;0;0;0;0;0
1985M03;0;0;0;0;0
1985M04;0;0;0;0;0
1985M05;0;0;0;0;0
1985M06;0;0;0;0;0
1985M07;0;0;0;0;0
1985M08;0;0;0;0;0
1985M09;0;0;0;0;0
1985M10;0;0;0;0;0
1985M11;0;0;0;0;0
1985M12;0;0;0;0;0
1986M01;0;0;0;0;0
1986M02;0;0;0;0;0
1986M03;0;0;0;0;0
1986M04;0;0;0;0;0
1986M05;0;0;0;0;0
1986M06;0;0;0;0;0
1986M07;0;1;0;0;0
1986M08;0;1;0;0;0
1986M09;0;1;0;0;0
1986M10;0;1;0;0;0
1986M11;0;1;0;0;0
1986M12;0;1;0;0;0
1987M01;0;1;0;0;0
1987M02;0;1;0;0;0
1987M03;0;1;0;0;0
1987M04;0;1;0;0;0
1987M05;0;1;0;0;0
1987M06;1;1;0;0;1
1987M07;1;1;0;0;1
1987M08;1;1;0;0;1
1987M09;0;0;0;0;1
1987M10;0;0;0;0;1
1987M11;0;0;0;0;1
1987M12;0;0;0;0;1
1988M01;0;0;0;0;1
1988M02;0;0;0;0;1
1988M03;0;0;0;0;1
1988M04;0;0;0;0;1
1988M05;0;0;0;0;1
1988M06;0;0;0;0;1
1988M07;0;0;0;0;1
1988M08;0;0;0;0;1
1988M09;0;0;0;0;0
1988M10;0;0;0;0;0
1988M11;0;0;0;0;0
1988M12;0;0;0;0;0
1989M01;0;0;0;0;0
1989M02;0;0;0;0;0
1989M03;0;0;0;0;0
1989M04;0;0;0;0;0
1989M05;0;0;0;0;0
1989M06;0;0;0;0;0
1989M07;0;0;0;0;0
1989M08;0;0;0;0;0
1989M09;0;0;0;0;0
1989M10;0;0;0;0;0
1989M11;0;0;0;0;0
1989M12;0;0;0;0;0
1990M01;0;0;0;0;0
1990M02;0;0;0;0;0
1990M03;0;0;0;0;0
1990M04;0;0;0;0;0
1990M05;0;0;0;0;0
1990M06;0;0;0;0;0
1990M07;0;0;0;0;0
1990M08;0;0;0;0;0
1990M09;0;0;0;0;0
1990M10;0;0;0;0;0
1990M11;0;0;0;0;0
1990M12;0;0;0;0;0
1991M01;0;0;0;0;0
1991M02;0;0;0;0;0
1991M03;0;0;0;0;0
1991M04;0;0;0;0;0
1991M05;0;0;0;0;0
1991M06;0;0;0;0;0
1991M07;0;0;0;0;0
1991M08;0;0;0;0;0
1991M09;0;0;0;0;0
1991M10;0;0;0;0;0
1991M11;0;0;0;0;0
1991M12;0;0;0;0;0
1992M01;0;0;0;0;0
1992M02;0;0;0;0;0
1992M03;0;0;0;0;0
1992M04;0;0;0;0;0
1992M05;0;0;0;0;0
1992M06;0;0;0;0;0
1992M07;0;0;0;0;0
1992M08;0;0;0;0;0
1992M09;0;0;0;0;0
1992M10;0;0;0;0;0
1992M11;0;0;0;0;0
1992M12;0;0;0;0;0
1993M01;0;0;0;0;0
1993M02;0;0;0;0;0
1993M03;0;0;0;0;0
1993M04;0;0;0;0;0
1993M05;0;0;0;0;0
1993M06;0;0;0;0;0
1993M07;0;0;0;0;0
1993M08;0;0;0;0;0
1993M09;0;0;0;0;0
1993M10;0;0;0;0;0
1993M11;0;0;0;0;0
1993M12;0;0;0;0;0
1994M01;0;0;0;0;0
1994M02;0;0;0;0;0
1994M03;0;0;0;0;0
1994M04;0;0;0;0;0
1994M05;0;0;0;0;0
1994M06;0;0;0;0;0
1994M07;0;0;0;0;0
1994M08;0;0;0;0;0
1994M09;0;0;0;0;0
1994M10;0;0;0;0;0
1994M11;0;0;0;0;0
1994M12;0;0;0;0;0
1995M01;0;0;0;0;0
1995M02;0;0;0;0;0
1995M03;0;0;0;0;0
1995M04;0;0;0;0;0
1995M05;0;0;0;0;0
1995M06;0;0;0;0;0
1995M07;0;0;0;0;0
1995M08;0;0;0;0;0
1995M09;0;0;0;0;0
1995M10;0;0;0;0;0
1995M11;0;0;0;0;0
1995M12;0;0;0;0;0
1996M01;0;0;0;0;0
1996M02;0;0;0;0;0
1996M03;0;0;0;0;0
1996M04;0;0;0;0;0
1996M05;0;0;0;0;0
1996M06;0;0;0;0;0
1996M07;0;0;0;0;0
1996M08;0;0;0;0;0
1996M09;0;0;0;0;0
1996M10;0;0;0;0;0
1996M11;0;0;0;0;0
1996M12;0;0;0;0;0
1997M01;0;0;0;0;0
1997M02;0;0;0;0;0
1997M03;0;0;0;0;0
1997M04;0;0;0;0;0
1997M05;0;0;0;0;0
1997M06;0;0;0;0;0
1997M07;0;0;0;0;0
1997M08;0;0;0;0;0
1997M09;0;0;0;0;0
1997M10;0;0;0;0;0
1997M11;0;0;0;0;0
1997M12;0;0;0;0;0
1998M01;0;0;0;0;0
1998M02;0;0;0;0;0
1998M03;0;0;0;0;0
1998M04;0;0;0;0;0
1998M05;0;0;0;0;0
1998M06;0;0;0;0;0
1998M07;0;0;0;0;0
1998M08;0;0;0;0;0
1998M09;0;0;0;0;0
1998M10;0;0;0;0;0
1998M11;0;0;0;0;0
1998M12;0;0;0;0;0
1999M01;0;0;0;0;0
1999M02;0;0;0;0;0
1999M03;0;0;0;0;0
1999M04;0;0;0;0;0
1999M05;0;0;0;0;0
1999M06;0;0;0;0;0
1999M07;0;0;0;0;0
1999M08;0;0;0;0;0
1999M09;0;0;0;0;0
1999M10;0;0;0;0;0
1999M11;0;0;0;0;0
1999M12;0;0;0;0;0
2000M01;0;0;0;0;0
2000M02;0;0;0;0;0
2000M03;0;0;0;0;0
2000M04;0;0;0;0;1
2000M05;0;0;0;0;1
2000M06;0;0;0;0;1
2000M07;0;0;0;0;1
2000M08;0;0;0;0;1
2000M09;0;0;0;0;1
2000M10;0;0;0;0;1
2000M11;0;0;0;0;1
2000M12;0;0;0;0;1
2001M01;0;0;0;0;1
2001M02;0;0;0;0;1
2001M03;0;0;0;0;1
2001M04;0;0;0;0;1
2001M05;0;0;0;0;1
2001M06;1;1;0;0;1
2001M07;1;1;0;0;1
2001M08;1;1;0;0;1
2001M09;1;1;0;0;1
2001M10;1;1;0;0;1
2001M11;1;1;0;0;1
2001M12;1;1;0;0;1
2002M01;1;1;0;0;1
2002M02;1;1;0;0;1
2002M03;1;1;0;0;1
2002M04;1;1;0;0;1
2002M05;1;1;0;0;1
2002M06;1;1;0;0;1
2002M07;1;1;0;0;1
2002M08;1;1;0;0;1
2002M09;1;1;0;0;1
2002M10;1;1;0;1;1
2002M11;1;1;0;1;1
2002M12;1;1;0;1;1
2003M01;1;1;0;1;1
2003M02;1;1;0;1;1
2003M03;1;1;0;1;1
2003M04;1;1;0;1;1
2003M05;1;1;0;1;1
2003M06;1;1;0;1;1
2003M07;1;1;0;1;1
2003M08;1;1;0;1;1
2003M09;1;1;0;1;1
2003M10;1;1;0;1;1
2003M11;1;1;0;1;1
2003M12;1;1;0;1;1
2004M01;1;1;0;1;1
2004M02;1;1;0;1;1
2004M03;1;1;0;1;1
2004M04;1;1;0;1;1
2004M05;1;1;0;1;1
2004M06;1;1;0;1;1
2004M07;1;1;0;1;1
2004M08;1;1;0;1;1
2004M09;1;1;0;1;1
2004M10;1;1;0;1;1
2004M11;1;1;0;1;1
2004M12;1;1;0;1;1
2005M01;1;1;0;1;1
2005M02;1;1;0;1;1
2005M03;1;1;0;1;1
2005M04;1;1;0;1;1
2005M05;1;1;0;1;1
2005M06;1;1;0;1;1
2005M07;1;1;0;1;1
2005M08;1;1;0;1;1
2005M09;1;1;0;1;1
2005M10;1;1;0;1;1
2005M11;1;1;0;1;1
2005M12;1;1;0;1;1
2006M01;1;1;0;0;1
2006M02;1;1;0;0;1
2006M03;1;1;0;0;1
2006M04;1;1;0;0;1
2006M05;1;1;0;0;1
2006M06;1;1;0;0;1
2006M07;1;1;0;0;1
2006M08;1;1;0;0;1
2006M09;1;1;0;0;1
2006M10;1;1;0;0;1
2006M11;1;1;0;0;1
2006M12;1;1;0;0;1
2007M01;0;1;0;0;0
2007M02;0;1;0;0;0
2007M03;0;1;0;0;0
2007M04;0;1;0;0;0
2007M05;0;1;0;0;0
2007M06;0;1;0;0;0
2007M07;0;1;0;0;0
2007M08;0;1;0;0;0
2007M09;0;1;0;0;0
2007M10;0;1;0;0;0
2007M11;0;0;0;0;0
2007M12;0;0;0;0;0
2008M01;0;0;0;0;0
2008M02;0;0;0;0;0
2008M03;0;0;0;0;0
2008M04;0;0;0;0;0
2008M05;0;0;0;0;0
2008M06;0;0;0;0;0
2008M07;0;0;0;0;0
2008M08;0;0;0;0;0
2008M09;0;0;0;0;0
2008M10;0;0;0;0;0
2008M11;0;0;0;0;0
2008M12;0;0;0;0;0
2009M01;0;0;0;0;0
2009M02;0;0;0;0;0
2009M03;0;0;0;0;0
2009M04;0;0;0;0;0
2009M05;0;0;0;0;0
2009M06;0;0;0;0;0
2009M07;0;0;0;0;0
2009M08;0;0;0;0;0
2009M09;0;0;0;0;0
2009M10;0;0;0;0;0
2009M11;0;0;0;0;0
2009M12;0;0;0;0;0
2010M01;0;0;0;0;0
2010M02;0;0;0;0;0
2010M03;0;0;0;0;0
2010M04;0;0;0;0;0
2010M05;0;0;0;0;0
2010M06;0;0;0;0;0
2010M07;0;0;0;0;0
2010M08;0;0;0;0;0
2010M09;0;0;0;0;0
2010M10;0;0;0;0;0
2010M11;0;0;0;0;0
2010M12;0;0;0;0;0
2011M01;0;0;0;0;0
2011M02;0;0;0;0;0
2011M03;0;0;0;0;0
2011M04;0;0;0;0;0
2011M05;0;0;0;0;0
2011M06;0;0;0;0;0
2011M07;0;0;0;0;0
2011M08;0;0;0;0;0
2011M09;0;0;0;0;0
2011M10;0;0;0;0;0
2011M11;0;0;0;0;0
2011M12;0;0;0;0;0
2012M01;0;0;0;0;0
2012M02;0;0;0;0;0
2012M03;0;0;0;0;0
2012M04;0;0;0;0;0
2012M05;0;0;0;0;0
2012M06;0;0;0;0;0
2012M07;0;0;0;0;0
2012M08;0;0;0;0;0
2012M09;0;0;0;0;0
2012M10;0;0;0;0;0
2012M11;0;0;0;0;0
2012M12;0;0;0;0;0
2013M01;0;0;0;0;0
2013M02;0;0;0;0;0
2013M03;0;0;0;0;0
2013M04;0;0;0;0;0
2013M05;0;0;0;0;0
2013M06;0;0;0;0;0
2013M07;0;0;0;0;0
2013M08;0;0;0;0;0
2013M09;0;0;0;0;0
2013M10;0;0;0;0;0
2013M11;0;0;0;0;0
2013M12;0;0;0;0;0
2014M01;0;0;0;0;0
2014M02;0;0;0;0;0
2014M03;0;0;0;0;0
2014M04;0;0;0;0;0
2014M05;0;0;0;0;0
2014M06;0;0;0;0;0
2014M07;0;0;0;0;0
2014M08;0;0;0;0;0
